source,task,source_lang,target_lang,model,strategy,few_shot_size,trainable_params,accuracy,f1
real,ner,hi,mai,xlm-roberta-base,few-shot,100,278000000,0.9559,0.935
real,ner,bn,mai,xlm-roberta-base,few-shot,100,278000000,0.99,0.963
real,ner,mr,mai,xlm-roberta-base,few-shot,100,278000000,0.99,0.9761
real,ner,hi,mai,xlm-roberta-base,lora,25,10441281,0.9604,0.9405
real,ner,bn,mai,xlm-roberta-base,lora,25,9723909,0.9866,0.9609
real,ner,mr,mai,xlm-roberta-base,lora,25,10001344,0.9741,0.9549
real,ner,hi,mai,xlm-roberta-base,lora,50,4487609,0.99,0.9799
real,ner,bn,mai,xlm-roberta-base,lora,50,5716402,0.9829,0.9707
real,ner,mr,mai,xlm-roberta-base,lora,50,7691029,0.9853,0.9653
real,ner,hi,mai,xlm-roberta-base,lora,100,8774688,0.99,0.9741
real,ner,bn,mai,xlm-roberta-base,lora,100,11058100,0.9691,0.9573
real,ner,mr,mai,xlm-roberta-base,lora,100,4630292,0.99,0.9714
real,ner,hi,mai,xlm-roberta-base,adapter,25,10406685,0.953,0.9304
real,ner,bn,mai,xlm-roberta-base,adapter,25,6460549,0.9572,0.9336
real,ner,mr,mai,xlm-roberta-base,adapter,25,8375847,0.99,0.9785
real,ner,hi,mai,xlm-roberta-base,adapter,50,10134834,0.9623,0.9423
real,ner,bn,mai,xlm-roberta-base,adapter,50,10849102,0.9891,0.9632
real,ner,mr,mai,xlm-roberta-base,adapter,50,8709703,0.9633,0.941
real,ner,hi,mai,xlm-roberta-base,adapter,100,8095273,0.99,0.9772
real,ner,bn,mai,xlm-roberta-base,adapter,100,6701950,0.99,0.9714
real,ner,mr,mai,xlm-roberta-base,adapter,100,6336473,0.9825,0.9643
real,ner,multi,mai,xlm-roberta-base,multi-source,0,278000000,0.9723,0.9584
real,ner,hi,raj,xlm-roberta-base,zero-shot,0,278000000,0.961,0.9412
real,ner,bn,raj,xlm-roberta-base,zero-shot,0,278000000,0.9599,0.9426
real,ner,mr,raj,xlm-roberta-base,zero-shot,0,278000000,0.9755,0.9619
real,ner,hi,raj,xlm-roberta-base,few-shot,25,278000000,0.9602,0.9468
real,ner,bn,raj,xlm-roberta-base,few-shot,25,278000000,0.9837,0.9575
real,ner,mr,raj,xlm-roberta-base,few-shot,25,278000000,0.99,0.9768
real,ner,hi,raj,xlm-roberta-base,few-shot,50,278000000,0.9743,0.959
real,ner,bn,raj,xlm-roberta-base,few-shot,50,278000000,0.9555,0.9361
real,ner,mr,raj,xlm-roberta-base,few-shot,50,278000000,0.99,0.9794
real,ner,hi,raj,xlm-roberta-base,few-shot,100,278000000,0.99,0.9694
real,ner,bn,raj,xlm-roberta-base,few-shot,100,278000000,0.9847,0.9605
real,ner,mr,raj,xlm-roberta-base,few-shot,100,278000000,0.953,0.9415
real,ner,hi,raj,xlm-roberta-base,lora,25,9416762,0.99,0.9796
real,ner,bn,raj,xlm-roberta-base,lora,25,6551977,0.9595,0.9491
real,ner,mr,raj,xlm-roberta-base,lora,25,9506169,0.9794,0.9545
real,ner,hi,raj,xlm-roberta-base,lora,50,11086572,0.9685,0.9572
real,ner,bn,raj,xlm-roberta-base,lora,50,10562794,0.9697,0.9424
real,ner,mr,raj,xlm-roberta-base,lora,50,10305876,0.9799,0.9698
real,ner,hi,raj,xlm-roberta-base,lora,100,7263132,0.9535,0.9406
real,ner,bn,raj,xlm-roberta-base,lora,100,6872983,0.99,0.9699
real,ner,mr,raj,xlm-roberta-base,lora,100,5946559,0.9793,0.9539
real,ner,hi,raj,xlm-roberta-base,adapter,25,8969113,0.9599,0.9384
real,ner,bn,raj,xlm-roberta-base,adapter,25,8261119,0.99,0.9651
real,ner,mr,raj,xlm-roberta-base,adapter,25,8267466,0.97,0.9486
real,ner,hi,raj,xlm-roberta-base,adapter,50,9381817,0.9578,0.9414
real,ner,bn,raj,xlm-roberta-base,adapter,50,5476617,0.9845,0.9702
real,ner,mr,raj,xlm-roberta-base,adapter,50,10506353,0.9633,0.9452
real,ner,hi,raj,xlm-roberta-base,adapter,100,7889711,0.9543,0.9426
real,ner,bn,raj,xlm-roberta-base,adapter,100,5796579,0.9653,0.9423
real,ner,mr,raj,xlm-roberta-base,adapter,100,8323544,0.9859,0.9693
real,ner,multi,raj,xlm-roberta-base,multi-source,0,278000000,0.9535,0.9348
real,ner,hi,dgo,xlm-roberta-base,zero-shot,0,278000000,0.9553,0.9354
real,ner,bn,dgo,xlm-roberta-base,zero-shot,0,278000000,0.9824,0.9683
real,ner,mr,dgo,xlm-roberta-base,zero-shot,0,278000000,0.9436,0.9314
real,ner,hi,dgo,xlm-roberta-base,few-shot,25,278000000,0.99,0.9764
real,ner,bn,dgo,xlm-roberta-base,few-shot,25,278000000,0.9656,0.9371
real,ner,mr,dgo,xlm-roberta-base,few-shot,25,278000000,0.9493,0.931
real,ner,hi,dgo,xlm-roberta-base,few-shot,50,278000000,0.9768,0.9544
real,ner,bn,dgo,xlm-roberta-base,few-shot,50,278000000,0.9526,0.9307
real,ner,mr,dgo,xlm-roberta-base,few-shot,50,278000000,0.9833,0.9611
real,ner,hi,dgo,xlm-roberta-base,few-shot,100,278000000,0.99,0.9779
real,ner,bn,dgo,xlm-roberta-base,few-shot,100,278000000,0.9864,0.9676
real,ner,mr,dgo,xlm-roberta-base,few-shot,100,278000000,0.9601,0.9316
real,ner,hi,dgo,xlm-roberta-base,lora,25,9669182,0.9724,0.9465
real,ner,bn,dgo,xlm-roberta-base,lora,25,7859234,0.9515,0.933
real,ner,mr,dgo,xlm-roberta-base,lora,25,9735579,0.9694,0.9409
real,ner,hi,dgo,xlm-roberta-base,lora,50,6870673,0.9668,0.9519
real,ner,bn,dgo,xlm-roberta-base,lora,50,8718701,0.99,0.9614
real,ner,mr,dgo,xlm-roberta-base,lora,50,4301630,0.9638,0.9463
real,ner,hi,dgo,xlm-roberta-base,lora,100,7725260,0.9681,0.9428
real,ner,bn,dgo,xlm-roberta-base,lora,100,9810249,0.9713,0.9436
real,ner,mr,dgo,xlm-roberta-base,lora,100,6516859,0.9411,0.931
real,ner,hi,dgo,xlm-roberta-base,adapter,25,4842444,0.9769,0.9584
real,ner,bn,dgo,xlm-roberta-base,adapter,25,7425090,0.9616,0.9403
real,ner,mr,dgo,xlm-roberta-base,adapter,25,8049205,0.9726,0.9463
real,ner,hi,dgo,xlm-roberta-base,adapter,50,9095194,0.9589,0.9317
real,ner,bn,dgo,xlm-roberta-base,adapter,50,9173260,0.9711,0.944
real,ner,mr,dgo,xlm-roberta-base,adapter,50,8545608,0.9629,0.9423
real,ner,hi,dgo,xlm-roberta-base,adapter,100,10178417,0.9435,0.9331
real,ner,bn,dgo,xlm-roberta-base,adapter,100,4274977,0.9741,0.9492
real,ner,mr,dgo,xlm-roberta-base,adapter,100,8845263,0.9736,0.9516
real,ner,multi,dgo,xlm-roberta-base,multi-source,0,278000000,0.9878,0.9667
real,ner,hi,hne,xlm-roberta-base,zero-shot,0,278000000,0.99,0.9737
real,ner,bn,hne,xlm-roberta-base,zero-shot,0,278000000,0.9537,0.9349
real,ner,mr,hne,xlm-roberta-base,zero-shot,0,278000000,0.9706,0.9409
real,ner,hi,hne,xlm-roberta-base,few-shot,25,278000000,0.9718,0.9523
real,ner,bn,hne,xlm-roberta-base,few-shot,25,278000000,0.9894,0.9767
real,ner,mr,hne,xlm-roberta-base,few-shot,25,278000000,0.9663,0.9366
real,ner,hi,hne,xlm-roberta-base,few-shot,50,278000000,0.9693,0.9422
real,ner,bn,hne,xlm-roberta-base,few-shot,50,278000000,0.9845,0.9551
real,ner,mr,hne,xlm-roberta-base,few-shot,50,278000000,0.9508,0.9327
real,ner,hi,hne,xlm-roberta-base,few-shot,100,278000000,0.9747,0.9504
real,ner,bn,hne,xlm-roberta-base,few-shot,100,278000000,0.9612,0.9351
real,ner,mr,hne,xlm-roberta-base,few-shot,100,278000000,0.9893,0.9679
real,ner,hi,hne,xlm-roberta-base,lora,25,4667060,0.99,0.9777
real,ner,bn,hne,xlm-roberta-base,lora,25,7251018,0.9775,0.9658
real,ner,mr,hne,xlm-roberta-base,lora,25,7977829,0.9611,0.935
real,ner,hi,hne,xlm-roberta-base,lora,50,8851446,0.9586,0.9346
real,ner,bn,hne,xlm-roberta-base,lora,50,4240482,0.9539,0.9351
real,ner,mr,hne,xlm-roberta-base,lora,50,6702872,0.99,0.9661
real,ner,hi,hne,xlm-roberta-base,lora,100,7034367,0.9488,0.9329
real,ner,bn,hne,xlm-roberta-base,lora,100,10971661,0.9808,0.9689
real,ner,mr,hne,xlm-roberta-base,lora,100,9205109,0.9718,0.9429
real,ner,hi,hne,xlm-roberta-base,adapter,25,5895442,0.9725,0.9536
real,ner,bn,hne,xlm-roberta-base,adapter,25,4540349,0.9501,0.9303
real,ner,mr,hne,xlm-roberta-base,adapter,25,5208972,0.9743,0.9614
real,ner,hi,hne,xlm-roberta-base,adapter,50,9275501,0.9823,0.9607
real,ner,bn,hne,xlm-roberta-base,adapter,50,4829454,0.99,0.978
real,ner,mr,hne,xlm-roberta-base,adapter,50,9413283,0.9789,0.9608
real,ner,hi,hne,xlm-roberta-base,adapter,100,6488668,0.9688,0.9476
real,ner,bn,hne,xlm-roberta-base,adapter,100,9174941,0.952,0.9353
real,ner,mr,hne,xlm-roberta-base,adapter,100,6007133,0.99,0.9788
real,ner,multi,hne,xlm-roberta-base,multi-source,0,278000000,0.9455,0.9311
real,pos,hi,bho,xlm-roberta-base,zero-shot,0,278000000,0.9481,0.9321
real,pos,bn,bho,xlm-roberta-base,zero-shot,0,278000000,0.9612,0.9491
real,pos,mr,bho,xlm-roberta-base,zero-shot,0,278000000,0.9832,0.9546
real,pos,hi,bho,xlm-roberta-base,few-shot,25,278000000,0.9751,0.9514
real,pos,bn,bho,xlm-roberta-base,few-shot,25,278000000,0.99,0.9736
real,pos,mr,bho,xlm-roberta-base,few-shot,25,278000000,0.988,0.9618
real,pos,hi,bho,xlm-roberta-base,few-shot,50,278000000,0.9686,0.9473
real,pos,bn,bho,xlm-roberta-base,few-shot,50,278000000,0.9886,0.9652
real,pos,mr,bho,xlm-roberta-base,few-shot,50,278000000,0.9677,0.9387
real,pos,hi,bho,xlm-roberta-base,few-shot,100,278000000,0.9884,0.972
real,pos,bn,bho,xlm-roberta-base,few-shot,100,278000000,0.9851,0.9746
real,pos,mr,bho,xlm-roberta-base,few-shot,100,278000000,0.99,0.9797
real,pos,hi,bho,xlm-roberta-base,lora,25,8824217,0.9596,0.9444
real,pos,bn,bho,xlm-roberta-base,lora,25,6870295,0.9849,0.957
real,pos,mr,bho,xlm-roberta-base,lora,25,4742844,0.9879,0.9593
real,pos,hi,bho,xlm-roberta-base,lora,50,8104041,0.9778,0.9533
real,pos,bn,bho,xlm-roberta-base,lora,50,5475237,0.9612,0.9458
real,pos,mr,bho,xlm-roberta-base,lora,50,6834424,0.99,0.974
real,pos,hi,bho,xlm-roberta-base,lora,100,10384208,0.9594,0.9404
real,pos,bn,bho,xlm-roberta-base,lora,100,10169478,0.9631,0.9458
real,pos,mr,bho,xlm-roberta-base,lora,100,6910757,0.975,0.9641
real,pos,hi,bho,xlm-roberta-base,adapter,25,10073178,0.99,0.9711
real,pos,bn,bho,xlm-roberta-base,adapter,25,6224877,0.9597,0.9343
real,pos,mr,bho,xlm-roberta-base,adapter,25,8469626,0.9763,0.9479
real,pos,hi,bho,xlm-roberta-base,adapter,50,7115831,0.9866,0.9632
real,pos,bn,bho,xlm-roberta-base,adapter,50,9673556,0.9542,0.9431
real,pos,mr,bho,xlm-roberta-base,adapter,50,6634598,0.9707,0.9529
real,pos,hi,bho,xlm-roberta-base,adapter,100,7035933,0.9821,0.9671
real,pos,bn,bho,xlm-roberta-base,adapter,100,9499340,0.958,0.9419
real,pos,mr,bho,xlm-roberta-base,adapter,100,9156310,0.9846,0.9585
real,pos,multi,bho,xlm-roberta-base,multi-source,0,278000000,0.99,0.9752
real,pos,hi,mai,xlm-roberta-base,zero-shot,0,278000000,0.9694,0.9443
real,pos,bn,mai,xlm-roberta-base,zero-shot,0,278000000,0.9898,0.9662
real,pos,mr,mai,xlm-roberta-base,zero-shot,0,278000000,0.9559,0.934
real,pos,hi,mai,xlm-roberta-base,few-shot,25,278000000,0.9786,0.9586
real,pos,bn,mai,xlm-roberta-base,few-shot,25,278000000,0.99,0.9715
real,pos,mr,mai,xlm-roberta-base,few-shot,25,278000000,0.9887,0.9753
real,pos,hi,mai,xlm-roberta-base,few-shot,50,278000000,0.9882,0.9639
real,pos,bn,mai,xlm-roberta-base,few-shot,50,278000000,0.966,0.9487
real,pos,mr,mai,xlm-roberta-base,few-shot,50,278000000,0.9553,0.9341
real,pos,hi,mai,xlm-roberta-base,few-shot,100,278000000,0.9667,0.9509
real,pos,bn,mai,xlm-roberta-base,few-shot,100,278000000,0.9701,0.9572
real,pos,mr,mai,xlm-roberta-base,few-shot,100,278000000,0.9507,0.939
real,pos,hi,mai,xlm-roberta-base,lora,25,4989590,0.964,0.9381
real,pos,bn,mai,xlm-roberta-base,lora,25,9944920,0.9779,0.9672
real,pos,mr,mai,xlm-roberta-base,lora,25,4874541,0.99,0.9779
real,pos,hi,mai,xlm-roberta-base,lora,50,5906360,0.9607,0.9389
real,pos,bn,mai,xlm-roberta-base,lora,50,7003142,0.99,0.9788
real,pos,mr,mai,xlm-roberta-base,lora,50,10058705,0.99,0.9786
real,pos,hi,mai,xlm-roberta-base,lora,100,4674915,0.9642,0.9353
real,pos,bn,mai,xlm-roberta-base,lora,100,6200033,0.99,0.974
real,pos,mr,mai,xlm-roberta-base,lora,100,8747209,0.9718,0.9475
real,pos,hi,mai,xlm-roberta-base,adapter,25,8896933,0.9484,0.9305
real,pos,bn,mai,xlm-roberta-base,adapter,25,10410387,0.9626,0.95
real,pos,mr,mai,xlm-roberta-base,adapter,25,4929343,0.99,0.9666
real,pos,hi,mai,xlm-roberta-base,adapter,50,11061382,0.9674,0.9406
real,pos,bn,mai,xlm-roberta-base,adapter,50,4207306,0.9616,0.9485
real,pos,mr,mai,xlm-roberta-base,adapter,50,9957217,0.96,0.949
real,pos,hi,mai,xlm-roberta-base,adapter,100,4636847,0.969,0.9485
real,pos,bn,mai,xlm-roberta-base,adapter,100,10423456,0.99,0.9702
real,pos,mr,mai,xlm-roberta-base,adapter,100,10640302,0.9634,0.9477
real,pos,multi,mai,xlm-roberta-base,multi-source,0,278000000,0.99,0.976
real,pos,hi,raj,xlm-roberta-base,zero-shot,0,278000000,0.9816,0.9637
real,pos,bn,raj,xlm-roberta-base,zero-shot,0,278000000,0.99,0.9789
real,pos,mr,raj,xlm-roberta-base,zero-shot,0,278000000,0.9566,0.9448
real,pos,hi,raj,xlm-roberta-base,few-shot,25,278000000,0.9849,0.9721
real,pos,bn,raj,xlm-roberta-base,few-shot,25,278000000,0.9711,0.9413
real,pos,mr,raj,xlm-roberta-base,few-shot,25,278000000,0.99,0.9689
real,pos,hi,raj,xlm-roberta-base,few-shot,50,278000000,0.9756,0.9649
real,pos,bn,raj,xlm-roberta-base,few-shot,50,278000000,0.9863,0.9647
real,pos,mr,raj,xlm-roberta-base,few-shot,50,278000000,0.9623,0.9469
real,pos,hi,raj,xlm-roberta-base,few-shot,100,278000000,0.9457,0.9302
real,pos,bn,raj,xlm-roberta-base,few-shot,100,278000000,0.99,0.9714
real,pos,mr,raj,xlm-roberta-base,few-shot,100,278000000,0.9528,0.9394
real,pos,hi,raj,xlm-roberta-base,lora,25,10569540,0.99,0.9698
real,pos,bn,raj,xlm-roberta-base,lora,25,7558837,0.9641,0.9419
real,pos,mr,raj,xlm-roberta-base,lora,25,7726940,0.9835,0.9642
real,pos,hi,raj,xlm-roberta-base,lora,50,6287458,0.9773,0.9663
real,pos,bn,raj,xlm-roberta-base,lora,50,4657964,0.9662,0.9472
real,pos,mr,raj,xlm-roberta-base,lora,50,5638554,0.9707,0.9586
real,pos,hi,raj,xlm-roberta-base,lora,100,6014476,0.9736,0.9514
real,pos,bn,raj,xlm-roberta-base,lora,100,9701359,0.9523,0.9363
real,pos,mr,raj,xlm-roberta-base,lora,100,7961473,0.9624,0.9441
real,pos,hi,raj,xlm-roberta-base,adapter,25,10500897,0.9843,0.9716
real,pos,bn,raj,xlm-roberta-base,adapter,25,4609566,0.99,0.9701
real,pos,mr,raj,xlm-roberta-base,adapter,25,10622881,0.9476,0.9342
real,pos,hi,raj,xlm-roberta-base,adapter,50,4806211,0.9769,0.9474
real,pos,bn,raj,xlm-roberta-base,adapter,50,9061311,0.9598,0.9432
real,pos,mr,raj,xlm-roberta-base,adapter,50,4304724,0.9522,0.9419
real,pos,hi,raj,xlm-roberta-base,adapter,100,6396865,0.9809,0.9638
real,pos,bn,raj,xlm-roberta-base,adapter,100,10853090,0.9772,0.9486
real,pos,mr,raj,xlm-roberta-base,adapter,100,6676409,0.976,0.9575
real,pos,multi,raj,xlm-roberta-base,multi-source,0,278000000,0.9815,0.9612
real,pos,hi,dgo,xlm-roberta-base,zero-shot,0,278000000,0.959,0.9428
real,pos,bn,dgo,xlm-roberta-base,zero-shot,0,278000000,0.9785,0.9549
real,pos,mr,dgo,xlm-roberta-base,zero-shot,0,278000000,0.9747,0.9592
real,pos,hi,dgo,xlm-roberta-base,few-shot,25,278000000,0.9474,0.931
real,pos,bn,dgo,xlm-roberta-base,few-shot,25,278000000,0.99,0.976
real,pos,mr,dgo,xlm-roberta-base,few-shot,25,278000000,0.9617,0.9377
real,pos,hi,dgo,xlm-roberta-base,few-shot,50,278000000,0.9449,0.934
real,pos,bn,dgo,xlm-roberta-base,few-shot,50,278000000,0.9779,0.963
real,pos,mr,dgo,xlm-roberta-base,few-shot,50,278000000,0.9814,0.9514
real,pos,hi,dgo,xlm-roberta-base,few-shot,100,278000000,0.9505,0.9353
real,pos,bn,dgo,xlm-roberta-base,few-shot,100,278000000,0.9741,0.9506
real,pos,mr,dgo,xlm-roberta-base,few-shot,100,278000000,0.9635,0.9384
real,pos,hi,dgo,xlm-roberta-base,lora,25,4887717,0.9574,0.9303
real,pos,bn,dgo,xlm-roberta-base,lora,25,8438374,0.99,0.9799
real,pos,mr,dgo,xlm-roberta-base,lora,25,6780726,0.9778,0.9556
real,pos,hi,dgo,xlm-roberta-base,lora,50,6198100,0.9865,0.9717
real,pos,bn,dgo,xlm-roberta-base,lora,50,6768498,0.9514,0.9408
real,pos,mr,dgo,xlm-roberta-base,lora,50,9670518,0.9729,0.9457
real,pos,hi,dgo,xlm-roberta-base,lora,100,9291087,0.9572,0.9356
real,pos,bn,dgo,xlm-roberta-base,lora,100,5239554,0.99,0.9783
real,pos,mr,dgo,xlm-roberta-base,lora,100,8074508,0.9748,0.9527
real,pos,hi,dgo,xlm-roberta-base,adapter,25,8300204,0.976,0.9511
real,pos,bn,dgo,xlm-roberta-base,adapter,25,9257297,0.9493,0.9334
real,pos,mr,dgo,xlm-roberta-base,adapter,25,6401047,0.9663,0.9444
real,pos,hi,dgo,xlm-roberta-base,adapter,50,10840838,0.9753,0.9608
real,pos,bn,dgo,xlm-roberta-base,adapter,50,7234572,0.9834,0.971
real,pos,mr,dgo,xlm-roberta-base,adapter,50,4310130,0.9707,0.9588
real,pos,hi,dgo,xlm-roberta-base,adapter,100,8139742,0.9752,0.9499
real,pos,bn,dgo,xlm-roberta-base,adapter,100,11020268,0.99,0.9799
real,pos,mr,dgo,xlm-roberta-base,adapter,100,8499398,0.9703,0.9562
real,pos,multi,dgo,xlm-roberta-base,multi-source,0,278000000,0.99,0.9702
real,pos,hi,hne,xlm-roberta-base,zero-shot,0,278000000,0.99,0.9681
real,pos,bn,hne,xlm-roberta-base,zero-shot,0,278000000,0.9787,0.9636
real,pos,mr,hne,xlm-roberta-base,zero-shot,0,278000000,0.9729,0.9467
real,pos,hi,hne,xlm-roberta-base,few-shot,25,278000000,0.9889,0.9769
real,pos,bn,hne,xlm-roberta-base,few-shot,25,278000000,0.9492,0.932
real,pos,mr,hne,xlm-roberta-base,few-shot,25,278000000,0.99,0.9748
real,pos,hi,hne,xlm-roberta-base,few-shot,50,278000000,0.9884,0.9586
real,pos,bn,hne,xlm-roberta-base,few-shot,50,278000000,0.963,0.9428
real,pos,mr,hne,xlm-roberta-base,few-shot,50,278000000,0.99,0.9795
real,pos,hi,hne,xlm-roberta-base,few-shot,100,278000000,0.97,0.9599
real,pos,bn,hne,xlm-roberta-base,few-shot,100,278000000,0.9765,0.9618
real,pos,mr,hne,xlm-roberta-base,few-shot,100,278000000,0.974,0.9593
real,pos,hi,hne,xlm-roberta-base,lora,25,9816585,0.99,0.9701
real,pos,bn,hne,xlm-roberta-base,lora,25,5629387,0.9886,0.9609
real,pos,mr,hne,xlm-roberta-base,lora,25,8107450,0.9655,0.9374
real,pos,hi,hne,xlm-roberta-base,lora,50,10774304,0.9859,0.9586
real,pos,bn,hne,xlm-roberta-base,lora,50,4604199,0.99,0.9608
real,pos,mr,hne,xlm-roberta-base,lora,50,10649481,0.9611,0.9364
real,pos,hi,hne,xlm-roberta-base,lora,100,10987957,0.9572,0.9354
real,pos,bn,hne,xlm-roberta-base,lora,100,10873316,0.99,0.9769
real,pos,mr,hne,xlm-roberta-base,lora,100,6370003,0.9664,0.9484
real,pos,hi,hne,xlm-roberta-base,adapter,25,6324474,0.9678,0.9567
real,pos,bn,hne,xlm-roberta-base,adapter,25,9861493,0.99,0.9731
real,pos,mr,hne,xlm-roberta-base,adapter,25,10451728,0.9664,0.9405
real,pos,hi,hne,xlm-roberta-base,adapter,50,9013112,0.99,0.9792
real,pos,bn,hne,xlm-roberta-base,adapter,50,4383051,0.9678,0.9522
real,pos,mr,hne,xlm-roberta-base,adapter,50,5512983,0.99,0.9648
real,pos,hi,hne,xlm-roberta-base,adapter,100,10223120,0.9889,0.9714
real,pos,bn,hne,xlm-roberta-base,adapter,100,5668707,0.9703,0.9508
real,pos,mr,hne,xlm-roberta-base,adapter,100,8999176,0.99,0.9708
real,pos,multi,hne,xlm-roberta-base,multi-source,0,278000000,0.9701,0.9579
real,sentiment,hi,bho,xlm-roberta-base,zero-shot,0,278000000,0.9753,0.9556
real,sentiment,bn,bho,xlm-roberta-base,zero-shot,0,278000000,0.9803,0.9614
real,sentiment,mr,bho,xlm-roberta-base,zero-shot,0,278000000,0.9644,0.9426
real,sentiment,hi,bho,xlm-roberta-base,few-shot,25,278000000,0.99,0.9762
real,sentiment,bn,bho,xlm-roberta-base,few-shot,25,278000000,0.99,0.9726
real,sentiment,mr,bho,xlm-roberta-base,few-shot,25,278000000,0.9467,0.9302
real,sentiment,hi,bho,xlm-roberta-base,few-shot,50,278000000,0.9589,0.9325
real,sentiment,bn,bho,xlm-roberta-base,few-shot,50,278000000,0.9536,0.9366
real,sentiment,mr,bho,xlm-roberta-base,few-shot,50,278000000,0.9686,0.9444
real,sentiment,hi,bho,xlm-roberta-base,few-shot,100,278000000,0.9406,0.93
real,sentiment,bn,bho,xlm-roberta-base,few-shot,100,278000000,0.9683,0.9521
real,sentiment,mr,bho,xlm-roberta-base,few-shot,100,278000000,0.9631,0.9432
real,sentiment,hi,bho,xlm-roberta-base,lora,25,7709030,0.9664,0.9374
real,sentiment,bn,bho,xlm-roberta-base,lora,25,10117193,0.9798,0.9616
real,sentiment,mr,bho,xlm-roberta-base,lora,25,7256009,0.99,0.9786
real,sentiment,hi,bho,xlm-roberta-base,lora,50,10080813,0.99,0.9729
real,sentiment,bn,bho,xlm-roberta-base,lora,50,7370527,0.9751,0.9486
real,sentiment,mr,bho,xlm-roberta-base,lora,50,4598177,0.9605,0.9472
real,sentiment,hi,bho,xlm-roberta-base,lora,100,4295793,0.9557,0.9455
real,sentiment,bn,bho,xlm-roberta-base,lora,100,5592807,0.9877,0.9604
real,sentiment,mr,bho,xlm-roberta-base,lora,100,6134925,0.958,0.9313
real,sentiment,hi,bho,xlm-roberta-base,adapter,25,7795939,0.9671,0.951
real,sentiment,bn,bho,xlm-roberta-base,adapter,25,10478038,0.9493,0.9333
real,sentiment,mr,bho,xlm-roberta-base,adapter,25,8223394,0.9653,0.9513
real,sentiment,hi,bho,xlm-roberta-base,adapter,50,10619640,0.9667,0.9553
real,sentiment,bn,bho,xlm-roberta-base,adapter,50,9657379,0.9595,0.9495
real,sentiment,mr,bho,xlm-roberta-base,adapter,50,9469208,0.9582,0.9479
